text,label
Can you recommend a good programming language for a beginner?,NONE
Can basil help treat hypertension symptoms?,HEALTH_ADVICE
"Tell me the zinc content of oysters, and will it boost my immune system?",BOTH
What's the best way to manage irritable bowel syndrome naturally?,HEALTH_ADVICE
How much sodium is in a bag of pretzels?,NUTRITION_LOOKUP
What are the nutritional facts for a large bag of popcorn?,NUTRITION_LOOKUP
"What are the health benefits of eating oats, and how often should I eat them for breakfast?",BOTH
What's the fat content of a serving of almonds?,NUTRITION_LOOKUP
Can you create a simple chatbot using natural language processing?,NONE
What language is spoken in Sydney?,NONE
How do I set up a VPN on my home router?,NONE
"Can you tell me the iron content of beef, and can I get enough from other sources?",BOTH
How does one use Python's NumPy library for numerical computations?,NONE
Can you describe the process of how a neural network learns from data?,NONE
What's the protein content of salmon fillet?,NUTRITION_LOOKUP
Can saffron help treat diabetes symptoms?,HEALTH_ADVICE
"What are the health benefits of drinking green juice, and how often should I drink it?",BOTH
What are some healthy ways to manage menopause symptoms through food?,HEALTH_ADVICE
Can you write a program that calculates the area and perimeter of a circle?,NONE
What are the different types of data structures used in programming?,NONE
"Here are 50 diverse questions that have absolutely NOTHING to do with food, nutrition, or healthcare:",NONE
How does the weather app on my phone use GPS and location services?,NONE
Give me the calcium content in milk and advise on its use for bone health,BOTH
How much iron is in spinach and tell me if it prevents anemia,BOTH
"What's the fiber content of an apple, and will it help with digestion?",BOTH
What was the name of the first website launched on the internet?,NONE
Can you give me the sodium in canned beans and recommend daily limit,BOTH
Is there a mobile app that can help me learn a new language?,NONE
What is the potassium level in a serving of almonds?,NUTRITION_LOOKUP
How much fiber is in an apple and should I eat it before bed?,BOTH
"How much vitamin C is in cheese, and is it safe for anemia?",BOTH
How much fiber is in a serving of oatmeal?,NUTRITION_LOOKUP
How many grams of protein in chicken thighs?,NUTRITION_LOOKUP
Is there a way to automate tasks using Python scripts on Windows?,NONE
What's the caloric value of a chicken breast?,NUTRITION_LOOKUP
Can you explain the concept of recursion in programming?,NONE
How many degrees are there in 3 hours and 45 minutes?,NONE
How much sugar is in a glass of fruit juice and will regular consumption contribute to weight gain?,BOTH
"How much vitamin C is in quinoa, and is it safe for gout?",BOTH
How do I optimize the performance of a MySQL database?,NONE
"How much magnesium is in tofu, and is it safe for fatty liver?",BOTH
What is the potassium level in a banana?,NUTRITION_LOOKUP
How can I reduce my risk of osteoporosis through nutrition?,HEALTH_ADVICE
How much sugar is in a can of energy drink?,NUTRITION_LOOKUP
Can you recommend a good book on machine learning for beginners?,NONE
How much fiber is in whole wheat bread and will it improve digestion?,BOTH
"What's the sodium content of soy sauce, and should I limit my intake as a hypertensive?",BOTH
How do I use regular expressions to validate email addresses?,NONE
"What's the vitamin C count of kiwi fruit, and do they help boost my immune system?",BOTH
What are some healthy ways to manage stress at work?,HEALTH_ADVICE
How much magnesium is in broccoli exactly?,NUTRITION_LOOKUP
What's the sugar content of applesauce and can I give it to my toddler?,BOTH
Will eating foods high in vitamin C improve immune function?,HEALTH_ADVICE
"How many calories are in a cup of cooked quinoa, and can it help with weight management?",BOTH
What's the best way to manage blood pressure naturally?,HEALTH_ADVICE
How much protein is in a glass of milk?,NUTRITION_LOOKUP
How many grams of sodium are in a can of corn?,NUTRITION_LOOKUP
How many carbs are in a slice of whole grain pizza crust?,NUTRITION_LOOKUP
Can the DASH diet help manage blood pressure in individuals with hypertension?,HEALTH_ADVICE
"Give me the sugar content of a glass of orange juice, and is it suitable for kids with high blood pressure?",BOTH
Are there any artificial preservatives in hummus?,NUTRITION_LOOKUP
Is the climate in Los Angeles generally warmer than in New York City?,NONE
Can you recommend a low-FODMAP diet for managing celiac disease symptoms?,HEALTH_ADVICE
What's the fat content in a medium-sized banana?,NUTRITION_LOOKUP
Is there any connection between gut health and mental clarity?,HEALTH_ADVICE
Should I avoid spicy food if I have acid reflux?,HEALTH_ADVICE
Tell me the protein content of chicken thighs and does it support muscle growth,BOTH
Show me a map of Seoul.,NONE
How much potassium is in a banana?,NUTRITION_LOOKUP
Are there any artificial colors in fruit juice?,NUTRITION_LOOKUP
What's the vitamin E count of almonds and can I use them as a natural remedy for skin issues?,BOTH
Which diet is best for weight loss after menopause?,HEALTH_ADVICE
"How much fiber is in whole wheat bread, and can it aid in digestion?",BOTH
Can cinnamon help treat osteoporosis symptoms?,HEALTH_ADVICE
"How much protein is in chicken breast, and should I eat it every day for muscle growth?",BOTH
Is lavender safe for someone with pregnancy?,HEALTH_ADVICE
What is the average cost of a new iPhone?,NONE
What's the fat content of olive oil and can it lower heart disease risk?,BOTH
"How much carb is in peanut butter, and is it safe for IBS?",BOTH
"Give me the calorie count of sweet potato fries, and are they suitable for weight loss diets?",BOTH
Tell me the iron content in spinach and its benefits for anemia patients,BOTH
Are there any specific nutrients that can improve cognitive function in older adults?,HEALTH_ADVICE
Are there any specific exercises that can help improve symptoms of fibromyalgia?,HEALTH_ADVICE
How much fiber is in a cup of cooked quinoa?,NUTRITION_LOOKUP
What's the fat content of a medium bagel with cream cheese?,NUTRITION_LOOKUP
What are some examples of recursive algorithms in programming languages like Python or Java?,NONE
How do I fix a 500 internal server error on my website?,NONE
How many grams of fat are in coconut oil and is it suitable for cooking?,BOTH
How much caffeine is in coffee and can it help with exercise performance?,BOTH
How much sugar is in a small container of hummus and can I eat it on a low-carb diet?,BOTH
What are some popular programming languages used for data science?,NONE
Can I get the protein amount in 1 cup of Greek yogurt?,NUTRITION_LOOKUP
Can exercise reduce symptoms of restless leg syndrome?,HEALTH_ADVICE
What are the advantages and disadvantages of using a monolithic architecture in software development?,NONE
"Can you tell me the sodium content of canned beans, and should I rinse them before eating?",BOTH
Tell me the calorie count of a cup of coffee and can I drink it on an empty stomach?,BOTH
What is the current population of Toronto?,NONE
Tell me the protein in chicken breast and will eating more help with hair growth?,BOTH
What is the average cost of a new laptop?,NONE
How many carbs are in a slice of whole wheat bread?,NUTRITION_LOOKUP
"What's the sugar content of honey, and can I use it as a natural sweetener for diabetics?",BOTH
"How much carb is in orange, and is it safe for osteoporosis?",BOTH
"How many calories are in a grilled chicken breast, and does it help with weight loss?",BOTH
Is there a new movie release this month that I should watch?,NONE
What should I eat to lower my blood pressure?,HEALTH_ADVICE
What's the sugar content of dates and can I eat them on a low-sugar diet?,BOTH
Should someone with hypothyroidism follow a vegan lifestyle?,HEALTH_ADVICE
Are there any food sensitivities that could be exacerbating my migraines?,HEALTH_ADVICE
Is coconut oil good for skin conditions like acne?,HEALTH_ADVICE
Do smartphones have built-in projectors?,NONE
Tell me the history of Dubai.,NONE
Give me the iron value for a portion of kale.,NUTRITION_LOOKUP
How many countries use the metric system as their official measurement unit?,NONE
"Can you give me the protein content of turkey breast, and should I eat it before or after a workout?",BOTH
Should I consider consulting an endocrinologist about my thyroid issues?,HEALTH_ADVICE
Will it be hot during summer in Dubai?,NONE
Can you tell me the protein amount in turkey breast?,NUTRITION_LOOKUP
Can I eat brown rice as a side dish and how many calories does it have?,BOTH
What are the effects of a low-sodium diet on heart failure patients?,HEALTH_ADVICE
What's the carb count of a slice of pizza and will it affect my blood sugar?,BOTH
Is it safe to travel to Paris during the summer months?,NONE
"What's the vitamin B12 content of tuna, and does it help with energy production?",BOTH
Is basil safe for someone with osteoporosis?,HEALTH_ADVICE
How much fiber is in a medium-sized banana?,NUTRITION_LOOKUP
Can soy help treat anemia symptoms?,HEALTH_ADVICE
Can you tell me the fiber content of spinach?,NUTRITION_LOOKUP
"Give me the calorie count of pita bread, and are they suitable for weight loss diets?",BOTH
Give me the sugar value for a portion of cheese.,NUTRITION_LOOKUP
What's the vitamin E content of sunflower seeds?,NUTRITION_LOOKUP
What is the most widely spoken language in the world by native speakers?,NONE
What is the protein content of a chicken thigh?,NUTRITION_LOOKUP
Will eating foods rich in antioxidants improve my eye health?,HEALTH_ADVICE
Give me the fiber content in oats and tell me if they aid digestion,BOTH
How does magnesium affect sleep quality?,HEALTH_ADVICE
Is cinnamon safe for someone with osteoporosis?,HEALTH_ADVICE
Can turmeric help treat kidney disease symptoms?,HEALTH_ADVICE
Can you tell me the nutritional information for turkey sausage?,NUTRITION_LOOKUP
What's the sodium content of a serving of pickles?,NUTRITION_LOOKUP
Are there any specific nutrients that can improve symptoms of anxiety and depression?,HEALTH_ADVICE
What's the calorie level in 1 cup of cooked broccoli?,NUTRITION_LOOKUP
What is the average temperature in July in New York City?,NONE
What is the fat content of an avocado?,NUTRITION_LOOKUP
Is there any evidence that acupuncture helps with migraines?,HEALTH_ADVICE
Is it true that Pluto is no longer considered a planet?,NONE
Can I follow the Mediterranean diet with a seafood allergy?,HEALTH_ADVICE
Can you recommend any good sci-fi books for beginners?,NONE
Can you explain the concept of sorting algorithms like bubble sort and merge sort?,NONE
Are there any benefits to taking probiotics for digestive issues?,HEALTH_ADVICE
"What's the vitamin E level in nuts, and can I take supplements if I'm deficient?",BOTH
How many carbs are in a slice of whole grain bread and will it help with weight loss?,BOTH
How many calories are in a serving of dark chocolate and is it safe to eat daily in moderation?,BOTH
How do I use regular expressions in Java?,NONE
What's the sodium level of a large box of crackers?,NUTRITION_LOOKUP
How does vitamin C affect immune system?,HEALTH_ADVICE
What is the saturated fat content of a croissant?,NUTRITION_LOOKUP
Can I get the nutrition information for a slice of pineapple pizza?,NUTRITION_LOOKUP
Can you tell me the sugar content of a serving of yogurt?,NUTRITION_LOOKUP
"How much fiber is in broccoli, and can I eat it to lower my cholesterol?",BOTH
Tell me the fiber content in broccoli and if it aids digestion,BOTH
Will a keto diet cure insomnia?,HEALTH_ADVICE
How does a low-sodium diet affect blood pressure in individuals with kidney disease?,HEALTH_ADVICE
"Who is the author of the book ""The Alchemist""?",NONE
Is there a way to calculate the factorial of 10 in JavaScript?,NONE
"How many calories are in a large serving of french fries, and should I limit my intake if I'm trying to lose weight?",BOTH
Here are 50 diverse questions asking for nutritional content:,NUTRITION_LOOKUP
What are the benefits of a macrobiotic diet for cancer survivors?,HEALTH_ADVICE
Should I be concerned about heavy metal exposure in seafood?,HEALTH_ADVICE
How much fiber is in quinoa per cup and can it help with digestive issues?,BOTH
Is it going to snow this weekend?,NONE
Give me the potassium in bananas and recommend daily intake,BOTH
Is it going to be sunny on Monday?,NONE
How many calories are in a chicken sandwich at McDonald's?,NUTRITION_LOOKUP
How far is London from here?,NONE
Will a Mediterranean-style diet help reduce my risk of developing heart disease?,HEALTH_ADVICE
"What's the vitamin C count of oranges, and do they help boost my immune system?",BOTH
Give me the fat percentage of olive oil and tell me if it's good for heart health,BOTH
How much carb is in beef exactly?,NUTRITION_LOOKUP
"Will a raw food diet improve skin conditions like acne, eczema, and psoriasis?",HEALTH_ADVICE
Can you tell me the sodium level in pickles?,NUTRITION_LOOKUP
Tell me the protein in cottage cheese and will eating more help with weight loss?,BOTH
How many hours are there in 3 days and 2 weeks?,NONE
What are the benefits of eating more whole grains in your diet?,HEALTH_ADVICE
Do you know who was the first president of the United States?,NONE
Is it safe to travel to India alone as a woman?,NONE
Is there an effective natural treatment for sciatica pain relief?,HEALTH_ADVICE
Is there an app that can help me learn French?,NONE
What is the highest temperature ever recorded on Earth?,NONE
"Can you tell me the vitamin B12 content of salmon, and is it essential for energy production?",BOTH
Is intermittent fasting beneficial for weight loss?,HEALTH_ADVICE
Tell me the vitamin D content of salmon and does it support bone health,BOTH
How many grams of carbs are in a serving of whole wheat bread?,NUTRITION_LOOKUP
What's the cholesterol level in lamb chop?,NUTRITION_LOOKUP
"How much calorie is in cheese, and is it safe for fatty liver?",BOTH
Show me a map of Toronto.,NONE
What are the benefits of using agile development methodologies?,NONE
Who won the World Cup in 2018?,NONE
What is the nutritional value of a large egg?,NUTRITION_LOOKUP
How many grams of sodium are in a bag of chips?,NUTRITION_LOOKUP
What's the copper content of a handful of almonds?,NUTRITION_LOOKUP
Can apple cider vinegar cure acid reflux?,HEALTH_ADVICE
How many carbs are in a serving of lentils?,NUTRITION_LOOKUP
What's the sodium content of soy sauce?,NUTRITION_LOOKUP
What's the iron content of spinach?,NUTRITION_LOOKUP
"How many calories are in a large sushi roll, and should I be eating that for lunch?",BOTH
What's the calorie count of a large burger and fries?,NUTRITION_LOOKUP
Is it possible to learn a language solely through self-study and practice?,NONE
Do all computers have a CPU and motherboard?,NONE
"How many calories does a large serving of falafel have, and can I eat it on a low-calorie diet?",BOTH
"What's the fat content of almond milk, and is it suitable for a keto diet?",BOTH
What is the vitamin C content of an orange?,NUTRITION_LOOKUP
"What's the carbohydrate count of brown rice, and should I eat it as a diabetic?",BOTH
"I'm trying to learn how to code in Java, where do I start?",NONE
Who played the role of Luke Skywalker in Star Wars?,NONE
Will it rain during the 2024 Olympics in Paris?,NONE
How do I calculate the perimeter of a circle using geometry?,NONE
Are almonds high in fiber?,NUTRITION_LOOKUP
How much protein is in a large serving of Greek yogurt?,NUTRITION_LOOKUP
Can you give me the nutritional info for a large salad with mixed greens and vinaigrette?,NUTRITION_LOOKUP
How much fiber is in lentils exactly?,NUTRITION_LOOKUP
Are eggs high in cholesterol?,NUTRITION_LOOKUP
Give me the fiber count of whole wheat bread and can I eat it on a high-fiber diet?,BOTH
What are the benefits of a low-histamine diet for mast cell disorder patients?,HEALTH_ADVICE
How many calories are in a slice of pizza and can I eat it on a low-carb diet again?,BOTH
What's the fat content of an avocado and should I eat it on low-carb diet?,BOTH
Can you tell me the nutritional information for beef burgers?,NUTRITION_LOOKUP
Will eating more turmeric help with joint pain?,HEALTH_ADVICE
Give me the iron content of beef and should I consume it to prevent anemia?,BOTH
"Can you tell me how many grams of sugar are in a cup of coffee with cream, and can it cause blood pressure issues?",BOTH
What's the calorie count for a large bagel with cream cheese?,NUTRITION_LOOKUP
What is the highest mountain peak above sea level on Earth?,NONE
Can I have the nutritional information for a large turkey burger?,NUTRITION_LOOKUP
Can I eat quinoa as a breakfast food and how many calories does it have?,BOTH
How much sugar is in an orange and will it affect my teeth if eaten daily?,BOTH
What's the best way to manage stress and anxiety for someone with PTSD?,HEALTH_ADVICE
Can you guide me to Berlin?,NONE
"How much magnesium is in kale, and is it safe for obesity?",BOTH
How does one use a debugger in Visual Studio?,NONE
Give me the vitamin C value for a portion of milk.,NUTRITION_LOOKUP
"How much caffeine is in a cup of green tea, and can it interact with certain medications?",BOTH
What is the fiber content of a serving of broccoli?,NUTRITION_LOOKUP
Is intermittent fasting beneficial for weight loss and insulin sensitivity?,HEALTH_ADVICE
Can you give me the nutrition info for a grilled cheese sandwich?,NUTRITION_LOOKUP
Is there a cure for Alzheimer's disease?,NONE
Are pistachios high in fat?,NUTRITION_LOOKUP
What was the outcome of the Battle of Gettysburg?,NONE
What's the protein level in chicken wings and will they help build muscle?,BOTH
Can you recommend a good online course platform for learning web development?,NONE
How does the keto diet impact thyroid function?,HEALTH_ADVICE
What's the protein in salmon and does it aid muscle recovery?,BOTH
"Give me the protein count of eggs, and will they help reduce hunger?",BOTH
What is the carbohydrate count in a serving of corn on the cob?,NUTRITION_LOOKUP
Give me the sodium content in soybeans and advise on its use as a substitute for salt,BOTH
What was the name of the first computer virus ever created?,NONE
How does a lacto-ovo vegetarian diet impact bone health in older adults?,HEALTH_ADVICE
"How many calories are in a large burger, and should I limit my intake if I'm trying to lose weight?",BOTH
What's the fat content of coconut oil and should I use it for cooking?,BOTH
Give me the sugar count in honey and tell me if it's good for soothing a sore throat,BOTH
What's the fiber count of artichokes and can I eat them on a high-fiber diet?,BOTH
Tell me the fat percentage of avocado and will it help lower cholesterol levels?,BOTH
What is the fiber content of a large banana?,NUTRITION_LOOKUP
Give me the vitamin C in kiwi fruit and advise on using it as a face mask,BOTH
How much caffeine is in green tea and will it help me stay awake during work hours?,BOTH
How can I use nutrition to support bone health during pregnancy?,HEALTH_ADVICE
What is the vitamin C content in an orange?,NUTRITION_LOOKUP
How much rainfall does Hawaii receive each year?,NONE
Are there any specific nutrients that can help alleviate symptoms of depression caused by food sensitivities?,HEALTH_ADVICE
What are the four basic operations in mathematics?,NONE
"Which city is known as the ""City of Canals""?",NONE
Give me the sugar content in coconut water and advise on its use as a post-workout beverage,BOTH
What's the calorie count of a medium-sized sweet potato?,NUTRITION_LOOKUP
Give me the protein content of eggs and can they help build muscle mass?,BOTH
Provide the protein in Greek yogurt and tell me if it aids muscle growth,BOTH
How does a gluten-free diet affect blood sugar levels?,HEALTH_ADVICE
What's the calorie count of a large pizza and can I eat it on keto diet?,BOTH
Provide the calorie count for a large burger and advise on weight management,BOTH
Can a gluten-free diet improve symptoms of chronic fatigue syndrome?,HEALTH_ADVICE
How does a high-fiber diet impact heart health in individuals with high blood pressure?,HEALTH_ADVICE
Can you tell me the calories in chicken breast?,NUTRITION_LOOKUP
What's the calorie count for a large order of fries?,NUTRITION_LOOKUP
Which country has the highest average IQ score?,NONE
How many calories are in a slice of pepperoni pizza?,NUTRITION_LOOKUP
Can you give me the sodium in soy sauce and recommend daily limit,BOTH
Who was the first woman to walk on the moon?,NONE
Are there any specific exercises that can alleviate menopause symptoms?,HEALTH_ADVICE
How much calcium is in milk per cup and can it help with osteoporosis prevention?,BOTH
Can I do keto on an empty stomach?,HEALTH_ADVICE
Is it safe to eat nightshade vegetables if I have arthritis?,HEALTH_ADVICE
Can you guide me to Sydney?,NONE
Is coconut oil good for acne treatment?,HEALTH_ADVICE
"Give me the sodium content of soy sauce, and is it safe for people with high blood pressure?",BOTH
How many planets are in our solar system?,NONE
Can I eat eggs on a low-cholesterol diet?,HEALTH_ADVICE
"How much iron is in cheese, and is it safe for diabetes?",BOTH
How do I create a dictionary in Python?,NONE
How many calories are in a bagel with cream cheese and lox?,NUTRITION_LOOKUP
What are the vitamins and minerals in an egg yolk?,NUTRITION_LOOKUP
What are the macronutrients in 1 cup of almonds?,NUTRITION_LOOKUP
What was the outcome of the 2019 Super Bowl game?,NONE
"How much calcium is in almond, and is it safe for cholesterol?",BOTH
What is the tallest mountain peak in the solar system?,NONE
What's the protein in chicken breast and can it help with muscle gain for a bodybuilder?,BOTH
Can I follow the Alkaline Diet with a kidney stone history?,HEALTH_ADVICE
What are the vitamins and minerals in a serving of broccoli?,NUTRITION_LOOKUP
Give me the vitamin B12 content in tuna and tell me if it's safe to consume during pregnancy,BOTH
Is lavender safe for someone with diabetes?,HEALTH_ADVICE
How much calcium is in a serving of kale and will it strengthen bones?,BOTH
How many carbs are in a slice of whole grain pasta and tell me if it affects blood sugar?,BOTH
Is there a way to learn French through mobile apps only?,NONE
Is the Paleo diet beneficial for managing autoimmune diseases?,HEALTH_ADVICE
What are some natural ways to lower cortisol levels?,HEALTH_ADVICE
How do I write a recursive function in C++?,NONE
"What's the fat content of olive oil, and should I use it as a finishing oil?",BOTH
What are the primary differences between Agile and Waterfall methodologies?,NONE
Can a low-FODMAP diet help with bloating and gas?,HEALTH_ADVICE
"Tell me how many calories are in a serving of Greek yogurt, and is it good for weight loss diets?",BOTH
Can stress cause digestive issues in otherwise healthy people?,HEALTH_ADVICE
What are some healthy snack options for diabetics?,HEALTH_ADVICE
Who played the role of Luke Skywalker in the original Star Wars trilogy?,NONE
How many calories in a medium-sized potato?,NUTRITION_LOOKUP
Is there MSG in Chinese food?,NUTRITION_LOOKUP
Will a high-protein diet help with muscle growth and recovery?,HEALTH_ADVICE
"How much vitamin D is in orange, and is it safe for fatty liver?",BOTH
Can you tell me the fat percentage in salmon fillet?,NUTRITION_LOOKUP
What foods can help reduce inflammation in the body for someone with multiple sclerosis?,HEALTH_ADVICE
"What's the fiber content of broccoli, and can it lower cholesterol levels?",BOTH
What's the calcium level in milk and should I drink it regularly for bone health?,BOTH
How many grams of sugar are in a can of energy drink?,NUTRITION_LOOKUP
How many grams of fiber are in broccoli and do you recommend eating it daily?,BOTH
Is it going to snow in New York City this winter?,NONE
Is it possible to make money online through affiliate marketing?,NONE
What's the vitamin C content of strawberries?,NUTRITION_LOOKUP
Can you suggest a meal plan for managing fibromyalgia symptoms?,HEALTH_ADVICE
Can you tell me the vitamin B12 content of milk?,NUTRITION_LOOKUP
Tell me the history of Tokyo.,NONE
"What's the fat content of walnuts, and are they good for heart health?",BOTH
Is it going to rain tomorrow?,NONE
Who invented the first computer mouse?,NONE
How many grams of fat are in a tablespoon of olive oil?,NUTRITION_LOOKUP
What's the sodium count of pickles and will they affect my blood pressure?,BOTH
How does a plant-based diet affect hormone levels in women?,HEALTH_ADVICE
Can you recommend a good IDE for Java development?,NONE
What's the fiber count of broccoli and can I eat it on a high-fiber diet?,BOTH
Can turmeric help treat IBS symptoms?,HEALTH_ADVICE
Is there any cholesterol in egg whites?,NUTRITION_LOOKUP
What's the fat content of a large steak?,NUTRITION_LOOKUP
What's the sugar content in fruit juices and can they cause tooth decay?,BOTH
Can I do intermittent fasting on a vegetarian diet?,HEALTH_ADVICE
Can you tell me the calorie count of a single donut?,NUTRITION_LOOKUP
Tell me the vitamin A content of carrots and does it support eye health,BOTH
Is there gluten in soy sauce?,NUTRITION_LOOKUP
What's the protein content of eggs?,NUTRITION_LOOKUP
What was the average temperature in Paris last month?,NONE
"Can you give me the iron content of lentils, and do I need more as a vegan athlete?",BOTH
Is there an app that can help me track my daily step count?,NONE
Is there a link between sugar intake and depression?,HEALTH_ADVICE
How does a low-carb lifestyle affect kidney function?,HEALTH_ADVICE
"How much potassium is in kale, and is it safe for insomnia?",BOTH
Can echinacea help treat insomnia symptoms?,HEALTH_ADVICE
"How much fat is in olive oil, and can it aid in heart health?",BOTH
Will a high-fiber diet help with constipation relief?,HEALTH_ADVICE
How many grams of fat are in a slice of pizza?,NUTRITION_LOOKUP
Provide the vitamin C content in strawberries and tell me if it aids collagen production,BOTH
"What's the vitamin A level in sweet potatoes, and can I use them as a natural remedy for dry skin?",BOTH
Which programming language is used in machine learning?,NONE
Give me the sodium content in canned beans and tell me if it affects blood pressure,BOTH
"How much sugar is in apple juice, and can it cause blood pressure issues?",BOTH
What are the five great lakes in North America?,NONE
Will a Mediterranean-style diet help with weight loss after 40?,HEALTH_ADVICE
What's the sodium level in a can of black beans?,NUTRITION_LOOKUP
"How much vitamin C is in blueberries, and is it safe for kidney disease?",BOTH
Can you explain the concept of polymorphism in programming?,NONE
"How much magnesium is in cheese, and is it safe for kidney disease?",BOTH
What is the current population of Dubai?,NONE
"Can you tell me the protein count of Greek yogurt, and should I eat it after a workout?",BOTH
"Tell me the potassium content of coconut water, and is it good for hydration?",BOTH
Give me the potassium content in avocados and tell me if they're suitable for athletes,BOTH
How much fat is in olive oil?,NUTRITION_LOOKUP
What's the calcium content of milk?,NUTRITION_LOOKUP
What's the sugar count of maple syrup and can I use it on a low-carb diet?,BOTH
How do I calculate the distance between two points on a coordinate plane?,NONE
How much fiber is in carrot exactly?,NUTRITION_LOOKUP
Is gluten-free diet suitable for celiac disease patients?,HEALTH_ADVICE
How much vitamin D is in cheese exactly?,NUTRITION_LOOKUP
What foods can reduce inflammation in rheumatoid arthritis sufferers?,HEALTH_ADVICE
What's the potassium level in bananas and should I eat them regularly?,BOTH
Who was the leader of the Soviet Union during World War II?,NONE
What are the benefits of eating organic food for overall health?,HEALTH_ADVICE
"How much vitamin C is in broccoli, and is it safe for diabetes?",BOTH
How does exercise impact mental health in patients with depression?,HEALTH_ADVICE
Will eating fermented vegetables help with digestive issues in IBS patients?,HEALTH_ADVICE
What is the current temperature in Tokyo?,NONE
What is the vitamin D content of a cup of fortified orange juice?,NUTRITION_LOOKUP
Is it safe to eat foods high in histamine if I have multiple sclerosis?,HEALTH_ADVICE
What's the caloric value of a large latte?,NUTRITION_LOOKUP
Is there any evidence that turmeric helps with joint pain?,HEALTH_ADVICE
What is the nutritional value of a turkey sandwich?,NUTRITION_LOOKUP
Give me the calorie value for a portion of olive oil.,NUTRITION_LOOKUP
Is there an effective natural treatment for migraines?,HEALTH_ADVICE
What is the average cost of building a house on Mars according to NASA estimates?,NONE
"What's the vitamin B6 level in chicken liver, and can I take supplements if I'm deficient?",BOTH
How much fiber is in brown rice per cup and can it help with digestive issues?,BOTH
What is the iron content of spinach leaves?,NUTRITION_LOOKUP
"How much iron is in yogurt, and is it safe for arthritis?",BOTH
Can you recommend a good programming book for beginners?,NONE
Will drinking apple cider vinegar improve digestive health?,HEALTH_ADVICE
Is there an app that can help me learn Spanish?,NONE
Will drinking green tea have any health benefits?,HEALTH_ADVICE
